...1,country,tpop,pop_b1,pop_b5,pop_b10,per_pop_b1,per_pop_b5,per_pop_b10
1,ABW,112683.00041302,31195.1281747846,112678.302845341,112678.302845341,0.27683970128985,0.999958311656046,0.999958311656046
1,AIA,13571.9994964451,8918.71544229984,13571.9994964451,13571.9994964451,0.657140861568403,1,1
1,ARG,45808456.0071522,789482.53571451,4451439.71888593,8305653.86413829,0.0172344279752901,0.0971750656296058,0.181312678664426
1,ATG,84816.0002665045,28153.0098915789,82003.4697779389,84815.8881375166,0.331930411751533,0.966839623659119,0.999998677973642
1,BHS,391475.990721884,150319.604064622,386098.341714518,390972.919242636,0.383981668422198,0.986263144778179,0.998714936570388
1,BLZ,322454.003772947,29792.427316966,73922.3978823726,103951.770838931,0.0923927970140638,0.229249434081843,0.322377051060366
1,BMU,63778.9984638095,63131.2513591051,63776.8100825548,63776.8100825548,0.989843880896437,0.99996568805865,0.99996568805865
1,BRA,211755691.891909,5469747.83358001,19030093.434563,31117873.669983,0.02583046427093,0.0898681554414934,0.146951769711424
1,BRB,226192.998320997,60133.1853680909,197406.573947668,226188.980114639,0.265849013074906,0.872735121833979,0.99998223549629
1,CHL,19678221.9836038,1681134.83402519,3958789.38550067,4614390.03152746,0.0854312363904593,0.201176172765974,0.234492223706605
1,COL,50372424.4006577,920230.78088133,2480482.07706257,3762910.07337089,0.0182685425970745,0.049242856713289,0.0747017861090235
1,CRI,5163020.99132647,148105.016855312,380499.57585955,525042.739263651,0.0286857282013996,0.0736970809335783,0.101692931356601
1,CUB,11193470.0264189,891601.045735463,2920246.4306484,4466399.82607511,0.0796536769769427,0.260888395087137,0.399018339758223
1,CUW,165982.999283931,33210.1783896519,165982.967503886,165982.967503886,0.200081806768912,0.999999808534334,0.999999808534334
1,CYM,69913.9992722273,54048.5254488215,69913.9992722273,69913.9992722273,0.773071573811281,1,1
1,DMA,69325.0004430935,30456.2237102091,61850.1848154552,69297.2569417059,0.439325258067753,0.892177200434725,0.999599805247599
1,DOM,10448498.9915173,872072.299958926,3492879.8522971,5521301.71655134,0.0834638832493473,0.334294892992076,0.528430133460686
1,ECU,17510642.9148467,1023571.85747765,2584581.91270044,3562585.07047023,0.0584542704945342,0.147600629244118,0.203452556699082
1,GLP,427560.276250651,156875.343573606,376388.791140741,427163.577102056,0.366908135033666,0.880317494509448,0.999072179595181
1,GRD,113999.999120168,48567.1120096222,109488.653448097,113999.304743879,0.426027301618021,0.960426792044836,0.999993908979867
1,GTM,17109746.0412199,75107.2887662053,255599.752449214,411681.380077876,0.00438973720505615,0.0149388396434077,0.0240612209606194
1,GUF,353339.62214323,38124.1937675056,136817.20469585,181139.998107113,0.107896741203996,0.38721161206311,0.51265124756851
1,GUY,756237.010358083,92563.298574158893,425133.556062753,510963.374236147,0.122399852567821,0.562169730176853,0.675665654070809
1,HND,9302282.28782268,219809.748999009,570585.068938514,865564.562070346,0.0236296579912173,0.0613381803824045,0.0930486234763514
1,HTI,14822589.021465,2347111.44603857,7196045.60340493,9996242.9956401,0.158346928639771,0.485478319137376,0.674392508701704
1,JAM,2697982.96476869,372031.875617981,1263293.1784828,1841891.78948209,0.137892596238048,0.468236158263181,0.682692149481381
1,KNA,46324.9998013154,25295.1424939483,46324.9998013154,46324.9998013154,0.546036537559361,1,1
1,LCA,178695.994467236,63670.3848681971,159531.731218189,178695.57038904,0.356305607509692,0.892754936638712,0.999997626817559
1,MEX,128972439.104242,2784840.90989152,8721972.11115678,13014704.9173296,0.0215925272812796,0.0676266353628254,0.100910745022124
1,MSR,4518.99990013136,2355.94082657275,4518.99990013136,4518.99990013136,0.521341199079084,1,1
1,MTQ,420589.734965101,97589.248689279,346986.197125301,419905.815707326,0.232029554162506,0.824999205351725,0.998373904066318
1,NIC,6595671.97693766,139826.034935557,315231.11583124,486917.752354637,0.0211996647838872,0.0477936314803818,0.0738238278157536
1,PAN,4337405.9756845,265219.813331524,1037131.01447644,1927694.66187546,0.0611471037800811,0.239113198139762,0.444434916326052
1,PER,29381884.0684876,1068275.96286771,5206955.60692546,9799163.31074926,0.0363583206705742,0.17721653229549,0.333510379658021
1,PRI,3663576.41240771,321669.572319719,1468952.14863836,2481398.82376687,0.0878020644609175,0.400961242042979,0.67731597336497
1,SLV,6825934.98752,130611.403452486,402980.213714868,724776.531344771,0.0191345806385917,0.0590366322638063,0.106179817515094
1,SUR,590099.998072005,4303.42656063271,51282.5833725581,258601.519567082,0.00729270729485344,0.0869049034741744,0.438233384870351
1,TCA,31457.9987389357,24892.935183286,31450.3325999061,31457.9987389357,0.791307018283903,0.999756305571338,1
1,TTO,1328021.99867279,146540.673274297,581598.317181285,933968.233839685,0.110345064630517,0.437943285399283,0.703277682728961
1,URY,3530911.94659134,533651.07468412,1570984.39800943,2037564.83343478,0.151136896857282,0.4449231308433,0.577064753880878
1,VCT,110696.003175579,54491.6297096163,108039.935765684,110659.100784235,0.492263750690123,0.976005751484248,0.999666633028423
1,VEN,32605422.819349,1805266.95988918,5292789.17410096,7223665.78565338,0.0553670771236827,0.16232849374246,0.221547986838761
1,VGB,32670.0000326508,26395.6380478116,32670.0000326508,32670.0000326508,0.807947291748744,1,1
